category,sport,name,img_url
free,3X3 Basketball,Tokyo2020 Pictogram3X3BasketballFree.svg,https://static.wikia.nocookie.net/logopedia/images/b/bd/Tokyo2020_Pictogram3X3BasketballFree.svg
free,Archery,Tokyo2020 Pictogram3X3ArcheryFree.svg,https://static.wikia.nocookie.net/logopedia/images/8/82/Tokyo2020_Pictogram3X3ArcheryFree.svg
free,Artistic Gymnastics,Tokyo2020 Pictogram3X3ArtisticGymnasticsFree.svg,https://static.wikia.nocookie.net/logopedia/images/1/11/Tokyo2020_Pictogram3X3ArtisticGymnasticsFree.svg
free,Artistic Swimming,Tokyo2020 PictogramArtisticSwimmingFree.svg,https://static.wikia.nocookie.net/logopedia/images/d/df/Tokyo2020_PictogramArtisticSwimmingFree.svg
free,Athletics,Tokyo2020 PictogramAthleticsFree.svg,https://static.wikia.nocookie.net/logopedia/images/1/14/Tokyo2020_PictogramAthleticsFree.svg
free,Badminton,Tokyo2020 PictogramBadmintonFree.svg,https://static.wikia.nocookie.net/logopedia/images/f/f2/Tokyo2020_PictogramBadmintonFree.svg
free,Baseball,Tokyo2020 PictogramBaseballFree.svg,https://static.wikia.nocookie.net/logopedia/images/a/a8/Tokyo2020_PictogramBaseballFree.svg
free,Softball,Tokyo2020 PictogramSoftballFree.svg,https://static.wikia.nocookie.net/logopedia/images/3/33/Tokyo2020_PictogramSoftballFree.svg
free,Basketball,Tokyo2020 PictogramBasketballFree.svg,https://static.wikia.nocookie.net/logopedia/images/4/4f/Tokyo2020_PictogramBasketballFree.svg
free,Beach Volleyball,Tokyo2020 PictogramBeachVolleyballFree.svg,https://static.wikia.nocookie.net/logopedia/images/6/6c/Tokyo2020_PictogramBeachVolleyballFree.svg
free,Boxing,Tokyo2020 PictogramBoxingFree.svg,https://static.wikia.nocookie.net/logopedia/images/4/45/Tokyo2020_PictogramBoxingFree.svg
free,Canoe Slalom,Tokyo2020 PictogramCanoeSlalomFree.svg,https://static.wikia.nocookie.net/logopedia/images/5/58/Tokyo2020_PictogramCanoeSlalomFree.svg
free,Canoe Sprint,Tokyo2020 PictogramCanoeSprintFree.svg,https://static.wikia.nocookie.net/logopedia/images/0/02/Tokyo2020_PictogramCanoeSprintFree.svg
free,Cycling BMX Freestyle,Tokyo2020 PictogramCyclingBMXFreestyleFree.svg,https://static.wikia.nocookie.net/logopedia/images/8/88/Tokyo2020_PictogramCyclingBMXFreestyleFree.svg
free,Cycling BMX Racing,Tokyo2020 PictogramCyclingBMXRacingFree.svg,https://static.wikia.nocookie.net/logopedia/images/1/12/Tokyo2020_PictogramCyclingBMXRacingFree.svg
free,Cycling Mountain Bike,Tokyo2020 PictogramCyclingMountainBikeFree.svg,https://static.wikia.nocookie.net/logopedia/images/7/71/Tokyo2020_PictogramCyclingMountainBikeFree.svg
free,Cycling Road,Tokyo2020 PictogramCyclingRoadFree.svg,https://static.wikia.nocookie.net/logopedia/images/d/dd/Tokyo2020_PictogramCyclingRoadFree.svg
free,Cycling Track,Tokyo2020 PictogramCyclingTrackFree.svg,https://static.wikia.nocookie.net/logopedia/images/5/5c/Tokyo2020_PictogramCyclingTrackFree.svg
free,Diving,Tokyo2020 PictogramDivingFree.svg,https://static.wikia.nocookie.net/logopedia/images/a/af/Tokyo2020_PictogramDivingFree.svg
free,Eventing<br>Equestrian,Tokyo2020 PictogramEquestrianDressageFree.svg,https://static.wikia.nocookie.net/logopedia/images/6/6f/Tokyo2020_PictogramEquestrianDressageFree.svg
free,Jumping<br>Equestrian,Tokyo2020 PictogramEquestrianJumpingFree.svg,https://static.wikia.nocookie.net/logopedia/images/a/a8/Tokyo2020_PictogramEquestrianJumpingFree.svg
free,Eventing<br>Equestrian,Tokyo2020 PictogramEquestrianEventingFree.svg,https://static.wikia.nocookie.net/logopedia/images/5/5a/Tokyo2020_PictogramEquestrianEventingFree.svg
free,Fencing,Tokyo2020 PictogramFencingFree.svg,https://static.wikia.nocookie.net/logopedia/images/9/9f/Tokyo2020_PictogramFencingFree.svg
free,Football,Tokyo2020 PictogramFootballFree.svg,https://static.wikia.nocookie.net/logopedia/images/a/ae/Tokyo2020_PictogramFootballFree.svg
free,Golf,Tokyo2020 PictogramGolfFree.svg,https://static.wikia.nocookie.net/logopedia/images/4/46/Tokyo2020_PictogramGolfFree.svg
free,Handball,Tokyo2020 PictogramHandballFree.svg,https://static.wikia.nocookie.net/logopedia/images/d/d9/Tokyo2020_PictogramHandballFree.svg
free,Hockey,Tokyo2020 PictogramHockeyFree.svg,https://static.wikia.nocookie.net/logopedia/images/0/09/Tokyo2020_PictogramHockeyFree.svg
free,Judo,Tokyo2020 PictogramJudoFree.svg,https://static.wikia.nocookie.net/logopedia/images/2/25/Tokyo2020_PictogramJudoFree.svg
free,Kata<br>Karate,Tokyo2020 PictogramKarateKataFree.svg,https://static.wikia.nocookie.net/logopedia/images/b/bf/Tokyo2020_PictogramKarateKataFree.svg
free,Kumite<br>Karate,Tokyo2020 PictogramKarateKumiteFree.svg,https://static.wikia.nocookie.net/logopedia/images/4/43/Tokyo2020_PictogramKarateKumiteFree.svg
free,Marathon Swimming,Tokyo2020 PictogramMarathonSwimmingFree.svg,https://static.wikia.nocookie.net/logopedia/images/c/cf/Tokyo2020_PictogramMarathonSwimmingFree.svg
free,Modern Pentathlon,Tokyo2020 PictogramModernPentathlonFree.svg,https://static.wikia.nocookie.net/logopedia/images/4/45/Tokyo2020_PictogramModernPentathlonFree.svg
free,Rhythmic Gymnastics,Tokyo2020 PictogramRhythmicGymnasticsFree.svg,https://static.wikia.nocookie.net/logopedia/images/7/74/Tokyo2020_PictogramRhythmicGymnasticsFree.svg
free,Rowing,Tokyo2020 PictogramRowingFree.svg,https://static.wikia.nocookie.net/logopedia/images/a/a5/Tokyo2020_PictogramRowingFree.svg
free,Rugby,Tokyo2020 PictogramRugbyFree.svg,https://static.wikia.nocookie.net/logopedia/images/8/81/Tokyo2020_PictogramRugbyFree.svg
free,Sailing,Tokyo2020 PictogramSailingFree.svg,https://static.wikia.nocookie.net/logopedia/images/9/9d/Tokyo2020_PictogramSailingFree.svg
free,Shooting,Tokyo2020 PictogramShootingFree.svg,https://static.wikia.nocookie.net/logopedia/images/8/8a/Tokyo2020_PictogramShootingFree.svg
free,Skateboarding,Tokyo2020 PictogramSkateboardingFree.svg,https://static.wikia.nocookie.net/logopedia/images/d/df/Tokyo2020_PictogramSkateboardingFree.svg
free,Sport Climbing,Tokyo2020 PictogramSportClimbingFree.svg,https://static.wikia.nocookie.net/logopedia/images/b/bf/Tokyo2020_PictogramSportClimbingFree.svg
free,Surfing,Tokyo2020 PictogramSurfingFree.svg,https://static.wikia.nocookie.net/logopedia/images/1/1a/Tokyo2020_PictogramSurfingFree.svg
free,Swimming,Tokyo2020 PictogramSwimmingFree.svg,https://static.wikia.nocookie.net/logopedia/images/2/29/Tokyo2020_PictogramSwimmingFree.svg
free,Table Tennis,Tokyo2020 PictogramTableTennisFree.svg,https://static.wikia.nocookie.net/logopedia/images/6/6a/Tokyo2020_PictogramTableTennisFree.svg
free,Taekwondo,Tokyo2020 PictogramTaekwondoFree.svg,https://static.wikia.nocookie.net/logopedia/images/5/5c/Tokyo2020_PictogramTaekwondoFree.svg
free,Tennis,Tokyo2020 PictogramTennisFree.svg,https://static.wikia.nocookie.net/logopedia/images/5/56/Tokyo2020_PictogramTennisFree.svg
free,Trampoline Gymnastics,Tokyo2020 PictogramTrampolineGymnasticsFree.svg,https://static.wikia.nocookie.net/logopedia/images/6/60/Tokyo2020_PictogramTrampolineGymnasticsFree.svg
free,Triathlon,Tokyo2020 PictogramTriathlonFree.svg,https://static.wikia.nocookie.net/logopedia/images/2/28/Tokyo2020_PictogramTriathlonFree.svg
free,Volleyball,Tokyo2020 PictogramVolleyballFree.svg,https://static.wikia.nocookie.net/logopedia/images/1/14/Tokyo2020_PictogramVolleyballFree.svg
free,Water Polo,Tokyo2020 PictogramWaterPoloFree.svg,https://static.wikia.nocookie.net/logopedia/images/f/ff/Tokyo2020_PictogramWaterPoloFree.svg
free,Weightlifting,Tokyo2020 PictogramWeightliftingFree.svg,https://static.wikia.nocookie.net/logopedia/images/c/cd/Tokyo2020_PictogramWeightliftingFree.svg
free,Wrestling,Tokyo2020 PictogramWrestlingFree.svg,https://static.wikia.nocookie.net/logopedia/images/8/81/Tokyo2020_PictogramWrestlingFree.svg
frame,3X3 Basketball,Tokyo2020 Pictogram3X3BasketballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/d/d0/Tokyo2020_Pictogram3X3BasketballFrame.svg
frame,Archery,Tokyo2020 Pictogram3X3ArcheryFrame.svg,https://static.wikia.nocookie.net/logopedia/images/5/51/Tokyo2020_Pictogram3X3ArcheryFrame.svg
frame,Artistic Gymnastics,Tokyo2020 PictogramArtisticGymnasticsFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/2d/Tokyo2020_PictogramArtisticGymnasticsFrame.svg
frame,Artistic Swimming,Tokyo2020 PictogramArtisticSwimmingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/f/fe/Tokyo2020_PictogramArtisticSwimmingFrame.svg
frame,Athletics,Tokyo2020 PictogramAthleticsFrame.svg,https://static.wikia.nocookie.net/logopedia/images/9/9c/Tokyo2020_PictogramAthleticsFrame.svg
frame,Badminton,Tokyo2020 PictogramBadmintonFrame.svg,https://static.wikia.nocookie.net/logopedia/images/d/d9/Tokyo2020_PictogramBadmintonFrame.svg
frame,Baseball,Tokyo2020 PictogramBaseballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/3/3c/Tokyo2020_PictogramBaseballFrame.svg
frame,Softball,Tokyo2020 PictogramSoftballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/9/9b/Tokyo2020_PictogramSoftballFrame.svg
frame,Basketball,Tokyo2020 PictogramBasketballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/1/14/Tokyo2020_PictogramBasketballFrame.svg
frame,Beach Volleyball,Tokyo2020 PictogramBeachVolleyballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/0/0a/Tokyo2020_PictogramBeachVolleyballFrame.svg
frame,Boxing,Tokyo2020 PictogramBoxingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/e/ef/Tokyo2020_PictogramBoxingFrame.svg
frame,Canoe Slalom,Tokyo2020 PictogramCanoeSlalomFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/29/Tokyo2020_PictogramCanoeSlalomFrame.svg
frame,Canoe Sprint,Tokyo2020 PictogramCanoeSprintFrame.svg,https://static.wikia.nocookie.net/logopedia/images/f/f3/Tokyo2020_PictogramCanoeSprintFrame.svg
frame,Cycling BMX Freestyle,Tokyo2020 PictogramCyclingBMXFreestyleFrame.svg,https://static.wikia.nocookie.net/logopedia/images/8/80/Tokyo2020_PictogramCyclingBMXFreestyleFrame.svg
frame,Cycling BMX Racing,Tokyo2020 PictogramCyclingBMXRacingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/a/ac/Tokyo2020_PictogramCyclingBMXRacingFrame.svg
frame,Cycling Mountain Bike,Tokyo2020 PictogramCyclingMountainBikeFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/27/Tokyo2020_PictogramCyclingMountainBikeFrame.svg
frame,Cycling Road,Tokyo2020 PictogramCyclingRoadFrame.svg,https://static.wikia.nocookie.net/logopedia/images/1/14/Tokyo2020_PictogramCyclingRoadFrame.svg
frame,Cycling Track,Tokyo2020 PictogramCyclingTrackFrame.svg,https://static.wikia.nocookie.net/logopedia/images/8/87/Tokyo2020_PictogramCyclingTrackFrame.svg
frame,Diving,Tokyo2020 PictogramDivingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/d/dd/Tokyo2020_PictogramDivingFrame.svg
frame,Dressage<br>Equestrian,Tokyo2020 PictogramEquestrianDressageFrame.svg,https://static.wikia.nocookie.net/logopedia/images/5/52/Tokyo2020_PictogramEquestrianDressageFrame.svg
frame,Jumping<br>Equestrian,Tokyo2020 PictogramEquestrianJumpingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/9/90/Tokyo2020_PictogramEquestrianJumpingFrame.svg
frame,Evening<br>Equestrian,Tokyo2020 PictogramEquestrianEventingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/7/7e/Tokyo2020_PictogramEquestrianEventingFrame.svg
frame,Fencing,Tokyo2020 PictogramFencingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/9/91/Tokyo2020_PictogramFencingFrame.svg
frame,Football,Tokyo2020 PictogramFootballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/e/e2/Tokyo2020_PictogramFootballFrame.svg
frame,Golf,Tokyo2020 PictogramGolfFrame.svg,https://static.wikia.nocookie.net/logopedia/images/a/a7/Tokyo2020_PictogramGolfFrame.svg
frame,Handball,Tokyo2020 PictogramHandballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/8/80/Tokyo2020_PictogramHandballFrame.svg
frame,Hockey,Tokyo2020 PictogramHockeyFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/2a/Tokyo2020_PictogramHockeyFrame.svg
frame,Judo,Tokyo2020 PictogramJudoFrame.svg,https://static.wikia.nocookie.net/logopedia/images/d/d8/Tokyo2020_PictogramJudoFrame.svg
frame,Kata<br>Karate,Tokyo2020 PictogramKarateKataFrame.svg,https://static.wikia.nocookie.net/logopedia/images/6/61/Tokyo2020_PictogramKarateKataFrame.svg
frame,Kumite<br>Karate,Tokyo2020 PictogramKarateKumiteFrame.svg,https://static.wikia.nocookie.net/logopedia/images/a/ac/Tokyo2020_PictogramKarateKumiteFrame.svg
frame,Marathon Swimming,Tokyo2020 PictogramMarathonSwimmingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/7/72/Tokyo2020_PictogramMarathonSwimmingFrame.svg
frame,Modern Pentathlon,Tokyo2020 PictogramModernPentathlonFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/25/Tokyo2020_PictogramModernPentathlonFrame.svg
frame,Rhythmic Gymnastics,Tokyo2020 PictogramRhythmicGymnasticsFrame.svg,https://static.wikia.nocookie.net/logopedia/images/d/d9/Tokyo2020_PictogramRhythmicGymnasticsFrame.svg
frame,Rowing,Tokyo2020 PictogramRowingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/4/46/Tokyo2020_PictogramRowingFrame.svg
frame,Rugby,Tokyo2020 PictogramRugbyFrame.svg,https://static.wikia.nocookie.net/logopedia/images/8/83/Tokyo2020_PictogramRugbyFrame.svg
frame,Sailing,Tokyo2020 PictogramSailingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/f/f1/Tokyo2020_PictogramSailingFrame.svg
frame,Shooting,Tokyo2020 PictogramShootingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/6/6f/Tokyo2020_PictogramShootingFrame.svg
frame,Skateboarding,Tokyo2020 PictogramSkateboardingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/9/97/Tokyo2020_PictogramSkateboardingFrame.svg
frame,Sport Climbing,Tokyo2020 PictogramSportClimbingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/2a/Tokyo2020_PictogramSportClimbingFrame.svg
frame,Surfing,Tokyo2020 PictogramSurfingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/8/87/Tokyo2020_PictogramSurfingFrame.svg
frame,Swimming,Tokyo2020 PictogramSwimmingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/5/55/Tokyo2020_PictogramSwimmingFrame.svg
frame,Table Tennis,Tokyo2020 PictogramTableTennisFrame.svg,https://static.wikia.nocookie.net/logopedia/images/1/1e/Tokyo2020_PictogramTableTennisFrame.svg
frame,Taekwondo,Tokyo2020 PictogramTaekwondoFrame.svg,https://static.wikia.nocookie.net/logopedia/images/4/4d/Tokyo2020_PictogramTaekwondoFrame.svg
frame,Tennis,Tokyo2020 PictogramTennisFrame.svg,https://static.wikia.nocookie.net/logopedia/images/9/9c/Tokyo2020_PictogramTennisFrame.svg
frame,Trampoline Gymnastics,Tokyo2020 PictogramTrampolineGymnasticsFrame.svg,https://static.wikia.nocookie.net/logopedia/images/6/68/Tokyo2020_PictogramTrampolineGymnasticsFrame.svg
frame,Triathlon,Tokyo2020 PictogramTriathlonFrame.svg,https://static.wikia.nocookie.net/logopedia/images/2/26/Tokyo2020_PictogramTriathlonFrame.svg
frame,Volleyball,Tokyo2020 PictogramVolleyballFrame.svg,https://static.wikia.nocookie.net/logopedia/images/c/cb/Tokyo2020_PictogramVolleyballFrame.svg
frame,Water Polo,Tokyo2020 PictogramWaterPoloFrame.svg,https://static.wikia.nocookie.net/logopedia/images/8/86/Tokyo2020_PictogramWaterPoloFrame.svg
frame,Weightlifting,Tokyo2020 PictogramWeightliftingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/3/3d/Tokyo2020_PictogramWeightliftingFrame.svg
frame,Wrestling,Tokyo2020 PictogramWrestlingFrame.svg,https://static.wikia.nocookie.net/logopedia/images/e/eb/Tokyo2020_PictogramWrestlingFrame.svg
kinetic,3X3 Basketball,Tokyo2020 Pictogram3X3BasketballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/f/f9/Tokyo2020_Pictogram3X3BasketballKinetic.gif
kinetic,Archery,Tokyo2020 PictogramArcheryKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/e/e4/Tokyo2020_PictogramArcheryKinetic.gif
kinetic,Artistic Gymnastics,Tokyo2020 PictogramArtisticGymnasticsKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/7/74/Tokyo2020_PictogramArtisticGymnasticsKinetic.gif
